Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,1453115,286,268,440,496,612,3,1477,0.000%,3341.10871,319.75,1058.42
TOTAL,1453115,286,268,440,496,612,3,1477,0.000%,3341.10871,319.75,1058.42
